"","Aname","Agenres","Asongs","Apopularity","Alink"
"1","Chico Buarque","Bossa Nova; Samba; MPB",449,10,"/chico-buarque/"
"2","Tom Jobim","Jazz; Bossa Nova; MPB",206,7.7,"/tom-jobim/"
"3","Vinicius de Moraes","MPB; Bossa Nova",160,7.3,"/vinicius-de-moraes/"
"4","Elis Regina","Bossa Nova; MPB",352,3.7,"/elis-regina/"
"5","Maria Rita","Bossa Nova; Samba; MPB",147,1.3,"/maria-rita/"
"6","João Gilberto","Bossa Nova",126,1.2,"/joao-gilberto/"
"7","Marcos Valle","Pop; MPB; Bossa Nova",134,0.7,"/marcos-valle/"
"8","Maysa","Bossa Nova; Velha Guarda",229,0.5,"/maysa/"
"9","Sérgio Mendes","Bossa Nova",67,0.5,"/sergio-mendes/"
"10","Elizeth Cardoso","Samba; Velha Guarda; Bossa Nova",450,0.6,"/elizeth-cardoso/"
"11","Wilson Simonal","MPB; Bossa Nova; Soul Music",143,0.5,"/wilson-simonal/"
"12","Nara Leão","Bossa Nova; MPB",235,0.5,"/nara-leao/"
"13","João Donato","Bossa Nova; MPB; Jazz",123,0.4,"/joao-donato/"
"14","Geraldo Vandré","MPB; Bossa Nova",54,0.3,"/geraldo-vandre/"
"15","Kings Of Convenience","Indie; Folk; Bossa Nova",64,0.2,"/kings-of-convenience/"
"16","Ludmilla","Funk Carioca",145,23.2,"/ludmilla/"
"17","Anitta","Pop; Funk Carioca; Reggaeton",186,65.1,"/anitta/"
"18","Mc Livinho","Funk Carioca",126,3.8,"/mc-livinho/"
"19","Mc Daleste","Funk Carioca; Rap",114,2.5,"/mc-daleste/"
"20","Mr. Catra","Funk Carioca",98,3.3,"/mr-catra/"
"21","Mc Kevin","Funk Carioca",132,1.8,"/mc-kevin/"
"22","Furacão 2000","Funk Carioca",58,2.1,"/furacao-2000/"
"23","Os Hawaianos","Funk Carioca",81,2.5,"/os-hawaianos/"
"24","Mc Bin Laden","Funk Carioca",54,1.7,"/mc-bin-laden/"
"25","Eric Dogmal","Hip Hop; Trap; Funk Carioca",11,3.4,"/eric-dogmal/"
"26","Dennis DJ","Funk Carioca; Sertanejo; Electro Swing",77,4,"/dennis-dj/"
"27","Mc Marcelly","Funk Carioca",88,1.6,"/mc-marcelly/"
"28","Claudinho & Buchecha","Funk Carioca; Pop; Romântico",74,1.1,"/claudinho-buchecha/"
"29","MC Hariel SP","Funk Carioca",225,0.9,"/mc-hariel-sp/"
"30","MC Marcinho","Funk Carioca; Rap; Funk",95,0.8,"/mc-marcinho/"
"31","Harpa Cristã","Gospel/Religioso",632,149.9,"/harpa-crista/"
"32","Canção Nova","Gospel/Religioso",144,81.8,"/cancao-nova/"
"33","Músicas Católicas","COLETÂNEA; Gospel/Religioso",363,59.3,"/musicas-catolicas/"
"34","Corinhos Evangélicos","Gospel/Religioso",79,16,"/corinhos-evangelicos/"
"35","Aline Barros","Gospel/Religioso; Infantil",419,24.2,"/aline-barros/"
"36","Cassiane","Gospel/Religioso; Romântico",405,25,"/cassiane/"
"37","Padre Zezinho","Gospel/Religioso",716,28,"/padre-zezinho/"
"38","Diante do Trono","Gospel/Religioso; Infantil; Pop/Rock",659,19.8,"/diante-do-trono/"
"39","Shirley Carvalhaes","Gospel/Religioso",389,15.2,"/shirley-carvalhaes/"
"40","Cantor Cristão","Gospel/Religioso",381,14.7,"/cantor-cristao/"
"41","Músicas Gospel","COLETÂNEA; Gospel/Religioso; Romântico",399,8.8,"/musicas-gospel/"
"42","Hillsong United","Gospel/Religioso; Pop/Rock; Rock",717,12.4,"/hillsong-united/"
